Date,Price,Action,TradeShares,Shares,Balance,TotalValue,BaselineValue,Confidence
2012-08-09,58.02577590942383,Hold,0,2677,56.129717092238366,154703.77444228515,150061.54084663428,0.9948720335960388
2012-08-10,57.814231872558594,Hold,0,2677,56.129717092238366,154139.97694808303,149514.59198879232,0.9946182370185852
2012-08-13,58.30777359008789,Hold,0,2677,56.129717092238366,155455.34176644706,150790.64818352202,0.9956104159355164
2012-08-14,58.660301208496094,Hold,0,2677,56.129717092238366,156394.88225570327,151702.11125808247,0.9956081509590149
2012-08-15,58.519290924072266,Hold,0,2677,56.129717092238366,156019.06809335214,151337.52800084458,0.9939476251602173
2012-08-16,58.448787689208984,Hold,0,2677,56.129717092238366,155831.16609555492,151155.2413036913,0.9947984218597412
2012-08-17,57.814231872558594,Hold,0,2677,56.129717092238366,154139.97694808303,149514.59198879232,0.9943270087242126
2012-08-20,58.09626388549805,Hold,0,2677,56.129717092238366,154891.63577305546,150243.7880920622,0.9915441274642944
2012-08-21,58.942298889160156,Hold,0,2677,56.129717092238366,157146.44957986518,152431.2185949702,0.9956114888191223
2012-08-22,58.09626388549805,Hold,0,2677,56.129717092238366,154891.63577305546,150243.7880920622,0.9970085024833679
2012-08-23,58.30777359008789,Hold,0,2677,56.129717092238366,155455.34176644706,150790.64818352202,0.996160626411438
2012-08-24,57.814231872558594,Hold,0,2677,56.129717092238366,154139.97694808303,149514.59198879232,0.9952876567840576
2012-08-27,58.519290924072266,Hold,0,2677,56.129717092238366,156019.06809335214,151337.52800084458,0.9945244789123535
2012-08-28,58.09626388549805,Hold,0,2677,56.129717092238366,154891.63577305546,150243.7880920622,0.9893301129341125
2012-08-29,58.30777359008789,Hold,0,2677,56.129717092238366,155455.34176644706,150790.64818352202,0.9828771948814392
2012-08-30,58.30777359008789,Hold,0,2677,56.129717092238366,155455.34176644706,150790.64818352202,0.9765369892120361
2012-08-31,58.73081588745117,Hold,0,2677,56.129717092238366,156582.81475377065,151884.4275440298,0.9031389951705933
2012-09-03,59.15383529663086,Hold,0,2677,56.129717092238366,157710.22674055386,152978.1477269495,0.7972844243049622
2012-09-04,59.22433090209961,Hold,0,2677,56.129717092238366,157898.1084048376,153160.41469824009,0.7406721115112305
2012-09-05,57.814231872558594,Hold,0,2677,56.129717092238366,154139.97694808303,149514.59198879232,0.6719913482666016
2012-09-06,57.179691314697266,Hold,0,2677,56.129717092238366,152448.82846763803,147873.98212561873,0.5793027877807617
2012-09-07,59.08333206176758,Hold,0,2677,56.129717092238366,157522.32474275667,152795.86102979622,0.6254838705062866
2012-09-10,58.871822357177734,Hold,0,2677,56.129717092238366,156958.61874936504,152249.00093833636,0.8463149070739746
2012-09-11,59.506378173828125,Hold,0,2677,56.129717092238366,158649.80789683695,153889.65025323533,0.8472787737846375
2012-09-12,59.57686996459961,Hold,0,2677,56.129717092238366,158837.67939436398,154071.90736159458,0.8917109966278076
2012-09-13,59.92938995361328,Hold,0,2677,56.129717092238366,159777.1995501067,154983.35071029235,0.9077831506729126
2012-09-14,60.98695755004883,Hold,0,2677,56.129717092238366,162595.7803508484,157717.7004822483,0.9474717378616333
2012-09-17,60.98695755004883,Hold,0,2677,56.129717092238366,162595.7803508484,157717.7004822483,0.9472143650054932
2012-09-18,60.42292404174805,Hold,0,2677,56.129717092238366,161092.5440349573,156259.38717915936,0.9142444729804993
2012-09-19,60.63444900512695,Hold,0,2677,56.129717092238366,161656.29069537582,156806.28672234458,0.917150616645813
2012-09-20,60.14091110229492,Hold,0,2677,56.129717092238366,160340.9360437685,155530.2403905462,0.8168178796768188
2012-09-21,60.42292404174805,Hold,0,2677,56.129717092238366,161092.5440349573,156259.38717915936,0.7070121169090271
2012-09-24,60.7049560546875,Hold,0,2677,56.129717092238366,161844.20285992976,156988.5832824292,0.5233980417251587
2012-09-25,60.563941955566406,Hold,0,2677,56.129717092238366,161468.3785308219,156623.99016225996,0.5117469429969788
2012-09-26,60.91645812988281,Hold,0,2677,56.129717092238366,162407.88851980792,157535.42364802636,0.5866373777389526
2012-09-27,61.76254653930664,Hold,0,2677,56.129717092238366,164662.84466121177,159722.99223197327,0.729227602481842
2012-09-28,63.313636779785156,Hold,0,2677,56.129717092238366,168796.73944653387,163733.34888400222,0.7276816368103027
2012-10-01,62.679100036621094,Hold,0,2677,56.129717092238366,167105.6011328456,162092.74888375998,0.6256822943687439
2012-10-02,63.172630310058594,Hold,0,2677,56.129717092238366,168420.93545093946,163368.77548969563,0.6146605610847473
2012-10-03,63.313636779785156,Hold,0,2677,56.129717092238366,168796.73944653387,163733.34888400222,0.6920393705368042
2012-10-04,63.87769317626953,Hold,0,2677,56.129717092238366,170300.0367629653,165191.72136467925,0.7822428941726685
2012-10-05,64.15970611572266,Hold,0,2677,56.129717092238366,171051.6447541541,165920.86815329237,0.7813725471496582
2012-10-08,62.820091247558594,Hold,0,2677,56.129717092238366,167481.3644614131,162457.28282634114,0.8287503719329834
2012-10-09,61.40999984741211,Hold,0,2677,56.129717092238366,163723.25333817195,158811.4798427561,0.75949627161026
2012-10-11,60.28192138671875,Hold,0,2677,56.129717092238366,160716.75020611964,155894.82364778413,0.784433901309967
2012-10-12,60.84595489501953,Hold,0,2677,56.129717092238366,162219.9865220107,157353.13695087307,0.8672090768814087
2012-10-15,60.91645812988281,Hold,0,2677,56.129717092238366,162407.88851980792,157535.42364802636,0.6805700063705444
2012-10-16,61.692012786865234,Hold,0,2677,56.129717092238366,164474.86132936078,159540.6266313692,0.6619441509246826
2012-10-17,61.621524810791016,Hold,0,2677,56.129717092238366,164286.99999859047,159358.3793859413,0.5067854523658752
2012-10-18,62.11505126953125,Hold,0,2677,56.129717092238366,165602.32414992762,160634.39612894563,0.8905919194221497
2012-10-19,61.127967834472656,Hold,0,2677,56.129717092238366,162971.59451319952,158082.2837394862,0.8866922855377197
2012-10-22,60.63444900512695,Hold,0,2677,56.129717092238366,161656.29069537582,156806.28672234458,0.9168381690979004
2012-10-23,60.42292404174805,Hold,0,2677,56.129717092238366,161092.5440349573,156259.38717915936,0.5520602464675903
2012-10-24,60.21142578125,Hold,0,2677,56.129717092238366,160528.8685418359,155712.55667649355,0.512721598148346
2012-10-25,59.78837966918945,Hold,0,2677,56.129717092238366,159401.38538775558,154618.76745305443,0.7316724061965942
2012-10-26,61.551025390625,Hold,0,2677,56.129717092238366,164099.10816755,159176.10255171938,0.7725074887275696
2012-10-29,62.11505126953125,Hold,0,2677,56.129717092238366,165602.32414992762,160634.39612894563,0.8797898292541504
2012-10-30,62.04454803466797,Hold,0,2677,56.129717092238366,165414.42215213043,160452.10943179234,0.6698281764984131
2012-10-31,62.538089752197266,Hold,0,2677,56.129717092238366,166729.78697049446,161728.16562652207,0.5518032908439636
2012-11-01,62.89061737060547,Hold,0,2677,56.129717092238366,167669.32745975067,162639.62870108252,0.6505858302116394
2012-11-02,63.3841667175293,Hold,0,2677,56.129717092238366,168984.71261162814,163915.70462167493,0.6336686611175537
2012-11-05,63.66616439819336,Hold,0,2677,56.129717092238366,169736.27993579005,164644.81195856267,0.5280072093009949
2012-11-06,63.7366828918457,Hold,0,2677,56.129717092238366,169924.22260061416,164827.13810744134,0.6666879057884216
2012-11-07,64.15970611572266,Hold,0,2677,56.129717092238366,171051.6447541541,165920.86815329237,0.6069177389144897
2012-11-08,63.807167053222656,Hold,0,2677,56.129717092238366,170112.07376462774,165009.37548993787,0.5794316530227661
2012-11-09,64.01872253417969,Hold,0,2677,56.129717092238366,170675.90175910006,165556.3539365739,0.7208842039108276
2012-11-12,64.37120056152344,Hold,0,2677,56.129717092238366,171615.31008051883,166467.6887930268,0.8617963790893555
2012-11-13,63.66616439819336,Hold,0,2677,56.129717092238366,169736.27993579005,164644.81195856267,0.7903920412063599
